"Date","Price","Open","High","Low","Vol.","Change %"
"02/13/2026","255.78","262.01","262.23","255.45","56.29M","-2.27%"
"02/12/2026","261.73","275.59","275.72","260.18","81.08M","-5.00%"
"02/11/2026","275.50","274.70","280.18","274.45","51.93M","0.67%"
"02/10/2026","273.68","274.89","275.37","272.94","34.38M","-0.34%"
"02/09/2026","274.62","277.90","278.20","271.70","44.62M","-1.26%"
"02/06/2026","278.12","277.12","280.90","276.92","50.45M","0.80%"
"02/05/2026","275.91","278.13","279.50","273.23","52.98M","-0.21%"
"02/04/2026","276.49","272.29","278.95","272.29","90.55M","2.60%"
"02/03/2026","269.48","269.20","271.88","267.61","64.39M","-0.20%"
"02/02/2026","270.01","260.03","270.49","259.20","73.91M","4.06%"
"01/30/2026","259.48","255.16","261.90","252.18","92.44M","0.46%"
"01/29/2026","258.28","258.00","259.65","254.41","67.25M","0.72%"
"01/28/2026","256.44","257.65","258.86","254.51","41.29M","-0.71%"
"01/27/2026","258.27","259.17","261.95","258.21","49.65M","1.12%"
"01/26/2026","255.41","251.48","256.56","249.80","55.97M","2.97%"
"01/23/2026","248.04","247.32","249.41","244.68","41.69M","-0.12%"
"01/22/2026","248.35","249.20","251.00","248.15","39.71M","0.28%"
"01/21/2026","247.65","248.70","251.56","245.18","54.64M","0.39%"
"01/20/2026","246.70","252.73","254.79","243.42","80.27M","-3.46%"
"01/16/2026","255.53","257.90","258.90","254.93","72.14M","-1.04%"
"01/15/2026","258.21","260.65","261.04","257.05","39.39M","-0.67%"
"01/14/2026","259.96","259.49","261.82","256.71","40.02M","-0.42%"
