"Date","Price","Open","High","Low","Vol.","Change %"
"02/13/2026","903.90","913.00","928.20","901.00","50.19M","-1.81%"
"02/12/2026","920.60","927.00","928.60","918.50","33.87M","-0.70%"
"02/11/2026","927.10","931.25","936.00","925.30","24.87M","-0.57%"
"02/10/2026","932.40","930.00","940.90","929.95","31.53M","-0.52%"
"02/09/2026","937.25","945.00","950.00","935.35","23.95M","-0.41%"
"02/06/2026","941.10","945.00","948.10","937.60","18.12M","-0.91%"
"02/05/2026","949.70","956.00","956.05","946.70","28.10M","-0.36%"
"02/04/2026","953.10","952.50","957.20","947.95","24.37M","0.46%"
"02/03/2026","948.70","983.75","994.00","945.00","50.34M","2.22%"
"02/02/2026","928.10","915.00","929.80","909.30","28.03M","0.65%"
"02/01/2026","922.10","932.00","939.65","912.65","9.86M","-0.77%"
"01/30/2026","929.25","930.00","938.90","927.75","29.69M","-0.67%"
"01/29/2026","935.50","930.10","939.30","924.35","37.18M","0.30%"
"01/28/2026","932.70","932.50","941.45","928.40","35.35M","0.68%"
"01/27/2026","926.40","906.00","931.20","905.00","44.75M","1.12%"
"01/23/2026","916.10","920.00","926.10","909.25","30.99M","-0.28%"
"01/22/2026","918.70","928.00","928.30","913.20","44.44M","-0.18%"
"01/21/2026","920.35","925.00","932.15","915.50","32.77M","-1.17%"
"01/20/2026","931.20","929.30","934.50","919.60","36.02M","0.36%"
"01/19/2026","927.90","935.90","936.15","919.50","38.19M","-0.34%"
"01/16/2026","931.10","922.00","935.95","919.20","37.78M","0.61%"
"01/14/2026","925.45","930.00","940.05","920.20","36.69M","-1.27%"
