"Date","Price","Open","High","Low","Vol.","Change %"
"02/13/2026","1,419.60","1,445.50","1,450.70","1,416.30","10.76M","-2.02%"
"02/12/2026","1,448.90","1,470.00","1,473.00","1,445.50","11.14M","-1.35%"
"02/11/2026","1,468.70","1,459.60","1,470.00","1,453.60","7.11M","0.70%"
"02/10/2026","1,458.50","1,471.00","1,471.00","1,452.20","10.26M","-0.21%"
"02/09/2026","1,461.60","1,458.00","1,465.90","1,453.00","5.78M","0.74%"
"02/06/2026","1,450.80","1,441.50","1,452.80","1,433.50","8.28M","0.51%"
"02/05/2026","1,443.40","1,457.00","1,461.50","1,439.50","11.76M","-0.92%"
"02/04/2026","1,456.80","1,444.00","1,464.00","1,440.30","8.33M","1.37%"
"02/03/2026","1,437.10","1,473.90","1,489.50","1,430.20","25.46M","3.36%"
"02/02/2026","1,390.40","1,340.00","1,392.90","1,335.50","15.71M","3.22%"
"02/01/2026","1,347.00","1,396.00","1,411.00","1,335.00","9.71M","-3.47%"
"01/30/2026","1,395.40","1,382.60","1,398.00","1,378.50","11.24M","0.32%"
"01/29/2026","1,391.00","1,402.90","1,402.90","1,384.00","20.85M","-0.41%"
"01/28/2026","1,396.70","1,385.00","1,409.90","1,384.90","11.12M","1.17%"
"01/27/2026","1,380.50","1,380.00","1,391.60","1,368.00","26.30M","-0.40%"
"01/23/2026","1,386.10","1,401.80","1,407.00","1,381.00","9.84M","-1.17%"
"01/22/2026","1,402.50","1,410.10","1,419.50","1,395.00","15.72M","-0.15%"
"01/21/2026","1,404.60","1,389.50","1,412.90","1,373.00","17.35M","0.76%"
"01/20/2026","1,394.00","1,410.70","1,416.00","1,390.00","13.19M","-1.39%"
"01/19/2026","1,413.60","1,450.60","1,450.60","1,403.30","20.39M","-3.04%"
"01/16/2026","1,457.90","1,458.80","1,480.00","1,455.10","17.17M","-0.06%"
"01/14/2026","1,458.80","1,444.00","1,467.00","1,440.20","8.32M","0.41%"
